sku,detalle,costo,venta,desde,hasta,empresa_id
40400032292,PIÑA TROZO ALIFRUT 1KG,1827,2667,1-9-2020,2-12-2020,3
40400032296,ZAPALLO CUBO ALIFRUT 1KG,1641,2396,1-9-2020,2-12-2020,3
40400032299,CEBOLLA CUBO ALIFRUT 1KG,794,1159,1-9-2020,2-12-2020,3
40400032310,PAPA CUBO CONG ALIFRUT 1KG,1106,1615,1-9-2020,2-12-2020,3
40400032940,LOMO CENTRO CERDO AGROSUPER KG,3830,5592,1-9-2020,2-12-2020,3
40400032941,PULPA CERDO PIERNA AGROSUPER KG,3412,4982,1-9-2020,2-12-2020,3
40400032942,COSTILLAR CERDO TROZO AGROSUPER KG,4941,7214,1-9-2020,2-12-2020,3
40400032943,CHULETA CERDO CENTRO 180-200G AGROSUPER,3882,5668,1-9-2020,2-12-2020,3
40400033000,HAMB POLLO 100GR LA CRIANZA,316,461,1-9-2020,2-12-2020,3
40400033260,FILETILLO SUPER POLLO CONG 700G,2147,3135,1-9-2020,2-12-2020,3
40400033261,PECHUGA SUPER POLLO 1/2 DESH 700GR,2505,3657,1-9-2020,2-12-2020,3
40400033262,TRUTRO CORTO SUPER POLLO CONG 800GR,1968,2873,1-9-2020,2-12-2020,3
